category;title;subtitle;AB_Testing;Advocacy;AIDA;Alleinstellungsmerkmal_USP;Attributionsmodelle;Awareness;Bezahlsysteme;bounce rate;Buyer persona;Chatbot;click last;click first;click & collect;CI;CLV (Customer Lifetime Value);Consideration ;Contentstrategie;Conversions_Kaufabschluss;conversions rate;CRM (Kundenbindung);Customer Experience;Customer Journey;Customer Journey Map;Datenanalyse;Datenschutz;Datentracking;Design;E-Mail-Marketing;E-Mail Software;google ads;heatmap;Influencer;Informationspflichten;Informationsrechte;Kaufabbruch;Kennzahlen;key performance indicator KPI;keywords;Kundengewinnung;Kundenkommunikation;Kundenverhalten;Kundenvertrauen;Kundenzufriedenheit;Leadgenerierung;Livestream Shopping;Marke / Brand;Marketingbudget;Marketingkampagne;Marketingstrategie;Marketingtools;Moment of Truth;On Page Optimierung;Off Page Optimierung;Optimierung;PDCA Zyklus;Personalisierung;Purchase;Retention;Retourenrate;SEA;SEM;SEO;Shop Software;Social Media;Vertriebskanaele;Testing;Touchpoint;Werbung;Zielgruppensegmen-tierung
1;Customer Journey im E-Commerce;Was ist die Customer Journey?;;;1;;;;;;;;;;;;;;;1;;1;1;1;1;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
1;Customer Journey im E-Commerce;Aus welchen Phasen besteht die Customer Journey?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Customer Journey im E-Commerce;Was sind Touchpoints und wie werden sie genutzt?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Customer Journey im E-Commerce;Wie nutzt man eine Customer Journey Map zur Verbesserung der User E1perience?;;;;;;;;;1;;;;;;;;;1;;1;1;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;1;;
1;Customer Journey im E-Commerce;Wie kann man Attributionsmodelle einsetzen um das beste Marketingergebnis zu erzielen?;;;;;1;;;;;;1;1;;;;;;1;1;;;1;;1;;1;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;;
1;Customer Journey im E-Commerce;Wie kann die Customer Journey durch A/B-Testing optimiert werden?;1;;;;;;;;;;;;;;;;1;1;1;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;1;;
1;Zielgruppengerechte Marketingstrategien;Warum muss ich meine Kunden und Kundinnen kennen? ;;;1;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
1;Zielgruppengerechte Marketingstrategien;Wie unterstuetzt die Customer Journey Analyse  das Kundenbindungsmanagement des Unternehmens (CRM)?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Zielgruppengerechte Marketingstrategien;Wie koennen  durch die Customer Journey Analyse die eigenen Zielgruppen genauer bestimmt werden?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Zielgruppengerechte Marketingstrategien;Welche Rolle spielen Buyer Personas beim zielgruppengerechten Marketing?;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;1
1;Analyse von Daten;Was ist das Ziel der Touchpointanalyse?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Analyse von Daten;Welche Bedeutung haben Tracking Daten?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Analyse von Daten;Wie kann die Leistungsfaehigkeit der Marketingmassnahmen entlang der Customer Journey analysiert und optimiert werden?;;;;;;;;1;1;;;;;;1;;;1;1;;;1;1;1;;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;;;1;;;;;1;;;;;;;;1;;
1;Zahlungsverfahren;Welche Zahlungsverfahren gibt es im E-Commerce?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Gesetzliche Grundlagen;Welche rechtlichen Aspekte muessen bei Bearbeitung der Customer Journey aus Unternehmenssicht beruecksichtigt werden?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Google Anzeigen;Welche Rolle spielt die Suchmaschinenwerbung fuer die Akquisition? (SEA);;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;;;;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;1;;1
2;Google Suche;Wie kann durch die Suchmaschinenoptimierung (SEO) der Geschaeftserfolg im E-Commerce verbessert werden?;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;1;1;;;;;;;1;1;1;;;;;1;;
2;Newsletter ;Was ist beim Versand von Newslettern datenschutzrechtlich zu beruecksichtigen?;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
2;Newsletter ;Welchen Nutzen hat ein personalisierter Newsletter?;;;;;;;;;;;;;;;;1;;1;;1;;;;;1;;1;1;;;;;1;;;;;;1;1;;;;;;;;;;;;;;;;1;;1;;;;;;;;;1;1;1
2;E-Mail Marketing;Was muss bei der Gestaltung von E-Mails zu Marketingzwecken beruecksichtigt werden?;1;;;;;;;;;;;;;1;;1;;1;;;;;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;1;1;1
2;Social-Media;Welche Social Media-Kanaele sind fuer welche Zielgruppen interessant?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Social-Media;Was muss bei Social Media Advertising beruecksichtigt werden?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Landing-Page;Wie hilft eine Landing-Page dabei Kaufabschluesse zu erzielen?;1;;;1;;;;;1;;;;;;;1;;1;;;;1;;;1;;1;;;;;;1;1;1;;;;;1;;1;;1;;;;;;;;;;;;1;;;;;;;;;;;1;1;1
2;Webseite;Welche Bedeutung hat die Webseite des Anbieters als Touchpoint?;;s;1;1;;1;;;1;;;;;1;;1;;1;;1;;1;;;;;1;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;1;1;;;;1;;;;;1;;
2;Offline Touchpoints;Welche Rolle spielen Offline-Touchpoints in der Customer Journey im E-Commerce?;1;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;1;;;;;;;;;;;;;;;;1;;
2;Warenkorb;Wie kann der Warenkorb optimiert werden?;;;;;;;1;;;;;;;1;;;;1;;1;;;;;;;1;;;;;;1;1;1;;;;;;;1;;;;;;;;;1;1;;;;;1;;;;;;1;;;;1;;
2;Couponing;Inwieweit kann Couponing die Kaufentscheidung beeinflussen?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Bestellprozess;Was muessen Online-Haendler bei der Gestaltung des Bestellvorgangs beachten?;1;;;;;;1;;;;;;;;;;;1;;1;;;;;1;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;
2;Bewertungsportale;Wie koennen Kunden dazu animiert werden Bewertungsportale zu nutzen?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Chatboots;Inwieweit kann durch Chatboots die Kaufentscheidung beeinflusst werden?;;;;;;;;;;1;;;;1;;;;;;1;1;;;;1;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;
2;Bezahlungsprozess;Wie kann der Bezahlvorgang kundenorientiert gestaltet werden?;;;;;;;;;;;;;;;1;;;;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;
2;After-Sales-Services;Wie koennen die After-Sales-Services als Touchpoints genutzt werden?;;1;;;;;;;;;;;;;1;;;1;;1;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;1;;;;;;;;;1;;1
3;Social-Media;Wie plane ich eine Social Media Kampagne mit Influencer:innen?;;;;;;1;;;1;;;;;;;1;;;;1;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;1;;;1;1;1
3;Social-Media;Social Commerce (Produktverlinkung in Social Media);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Social-Media;Wie funktioniert Livestream-Shopping?;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;1;;;;;;;1;;;;;;1;1;;;1;;;;;;;;;;;;;;;1;;;1;;1
3;Social-Media;Wie kann ich mein Markenprofil durch Social Media-Content schaerfen?;;;;1;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;1;;1
3;Onlineshopping;Cross-Border-Retail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Kommunikation;Personalisierte Kommunikation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Zahlungsverfahren;Auswahl Payment-Service-Provider;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Performancemessung;Retail Analytics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Performancemessung;Wie hole ich zielfuehrend Kundenfeedback ein?;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;1;;;;;;;1;;;;;;1
3;Services;Wie kann die Einfuehrung eines Click & Collect;;;;;;;1;;;;;;1;;;;;;;1;1;;;;;;;;;;;;1;;;;;;;1;;;;;;;;1;1;;;;;;;;;;;;;;1;;;;;;1
3;Services;Live-Cbat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Services;Rueckruffunktion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Customer Journey im E-Commerce;Customer Journey und Customer Experience (als Ausblick?)+C46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Customer Journey im E-Commerce;Wie ergaenzen sich Customer Journey und Sales Funnel? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;