ref_id,obj_id,type,title,description
324,679,copa,Customer Journey (Audio),Was ist die Customer Journey?
325,680,copa,Customer Journey (Text),Was ist die Customer Journey?
326,681,copa,Customer Journey (Video),Was ist die Customer Journey?
592,1005,copa,Customer Journey Map und User Experience (Audio),Wie nutzt man eine Customer Journey Map zur Verbesserung der User Experience?
593,1006,copa,Customer Journey Map und User Experience (Text),Wie nutzt man eine Customer Journey Map zur Verbesserung der User Experience?
594,1007,copa,Customer Journey Map und User Experience (Video),Wie nutzt man eine Customer Journey Map zur Verbesserung der User Experience?
595,1008,copa,Einsatz von Attributionsmodellen (Audio),Wie kann man Attributionsmodelle einsetzen um das beste Marketingergebnis zu erzielen?
596,1009,copa,Einsatz von Attributionsmodellen (Text),Wie kann man Attributionsmodelle einsetzen um das beste Marketingergebnis zu erzielen?
597,1010,copa,Einsatz von Attributionsmodellen (Video),Wie kann man Attributionsmodelle einsetzen um das beste Marketingergebnis zu erzielen?
598,1011,copa,Optimierung durch A/B Testing (Audio),Wie kann die Customer Journey durch A/B Testing optimiert werden?
599,1012,copa,Optimierung durch A/B Testing (Text),Wie kann die Customer Journey durch A/B Testing optimiert werden?
600,1013,copa,Optimierung durch A/B Testing (Video),Wie kann die Customer Journey durch A/B Testing optimiert werden?
601,1014,copa,Seine Zielgruppen kennen (Audio),Warum muss ich meine Kunden und Kundinnen kennen?
602,1015,copa,Seine Zielgruppen kennen (Text),Warum muss ich meine Kunden und Kundinnen kennen?
603,1016,copa,Seine Zielgruppen kennen (Video),Warum muss ich meine Kunden und Kundinnen kennen?
607,1020,copa,Buyer Persona (Audio),Welche Rolle spielen Buyer Personas beim zielgruppengerechten Marketing?
608,1021,copa,Buyer Persona (Text),Welche Rolle spielen Buyer Personas beim zielgruppengerechten Marketing?
609,1022,copa,Buyer Persona (Video),Welche Rolle spielen Buyer Personas beim zielgruppengerechten Marketing?
613,1026,copa,Leistungsf‰higkeit von Marketingmaﬂnahmen (Audio),Wie kann die Leistungsfaehigkeit der Marketingmassnahmen entlang der Customer Journey analysiert und optimiert werden?
614,1027,copa,Leistungsf‰higkeit von Marketingmaﬂnahmen (Text),Wie kann die Leistungsfaehigkeit der Marketingmassnahmen entlang der Customer Journey analysiert und optimiert werden?
615,1028,copa,Leistungsf‰higkeit von Marketingmaﬂnahmen (Video),Wie kann die Leistungsfaehigkeit der Marketingmassnahmen entlang der Customer Journey analysiert und optimiert werden?
623,1036,copa,SEA - Suchmaschinenwerbung (Audio),Welche Rolle spielt die Suchmaschinenwerbung fuer die Akquisition? SEA
624,1037,copa,SEA - Suchmaschinenwerbung (Text),Welche Rolle spielt die Suchmaschinenwerbung fuer die Akquisition? SEA
625,1038,copa,SEA - Suchmaschinenwerbung (Video),Welche Rolle spielt die Suchmaschinenwerbung fuer die Akquisition? SEA
626,1039,copa,SEO - Suchmaschinenoptimierung (Audio),Wie kann durch die Suchmaschinenoptimierung (SEO) der Geschaeftserfolg im E-Commerce verbessert werden?
627,1040,copa,SEO - Suchmaschinenoptimierung (Text),Wie kann durch die Suchmaschinenoptimierung (SEO) der Geschaeftserfolg im E-Commerce verbessert werden?
628,1041,copa,SEO - Suchmaschinenoptimierung (Video),Wie kann durch die Suchmaschinenoptimierung (SEO) der Geschaeftserfolg im E-Commerce verbessert werden?
629,1042,copa,Datenschutz beim Versand von Newslettern (Audio),Was ist beim Versand von Newslettern datenschutzrechtlich zu beruecksichtigen?
630,1043,copa,Datenschutz beim Versand von Newslettern (Text),Was ist beim Versand von Newslettern datenschutzrechtlich zu beruecksichtigen?
631,1044,copa,Datenschutz beim Versand von Newslettern (Video),Was ist beim Versand von Newslettern datenschutzrechtlich zu beruecksichtigen?
632,1045,copa,Personalisierter Newsletter (Audio),Welchen Nutzen hat ein personalisierter Newsletter?
633,1046,copa,Personalisierter Newsletter (Text),Welchen Nutzen hat ein personalisierter Newsletter?
634,1047,copa,Personalisierter Newsletter (Video),Welchen Nutzen hat ein personalisierter Newsletter?
635,1048,copa,Gestaltung von E-Mails zu Marketingzwecken (Audio),Was muss bei der Gestaltung von E-Mails zu Marketingzwecken beruecksichtigt werden?
636,1049,copa,Gestaltung von E-Mails zu Marketingzwecken (Text),Was muss bei der Gestaltung von E-Mails zu Marketingzwecken beruecksichtigt werden?
637,1050,copa,Gestaltung von E-Mails zu Marketingzwecken (Video),Was muss bei der Gestaltung von E-Mails zu Marketingzwecken beruecksichtigt werden?
644,1057,copa,Touchpoint - Landingpage (Audio),Wie hilft eine Landing-Page dabei Kaufabschluesse zu erzielen?
645,1058,copa,Touchpoint - Landingpage (Text),Wie hilft eine Landing-Page dabei Kaufabschluesse zu erzielen?
646,1059,copa,Touchpoint - Landingpage (Video),Wie hilft eine Landing-Page dabei Kaufabschluesse zu erzielen?
647,1060,copa,Touchpoint - Webseite (Audio),Welche Bedeutung hat die Webseite des Anbieters als Touchpoint?
648,1061,copa,Touchpoint - Webseite (Text),Welche Bedeutung hat die Webseite des Anbieters als Touchpoint?
649,1062,copa,Touchpoint - Webseite (Video),Welche Bedeutung hat die Webseite des Anbieters als Touchpoint?
650,1063,copa,Offline-Touchpoints (Audio),Welche Rolle spielen Offline-Touchpoints in der Customer Journey im E-Commerce?
651,1064,copa,Offline-Touchpoints (Text),Welche Rolle spielen Offline-Touchpoints in der Customer Journey im E-Commerce?
652,1065,copa,Offline-Touchpoints (Video),Welche Rolle spielen Offline-Touchpoints in der Customer Journey im E-Commerce?
653,1066,copa,Optimierung des Warenkorbes (Audio),Wie kann der Warenkorb optimiert werden?
654,1067,copa,Optimierung des Warenkorbes (Text),Wie kann der Warenkorb optimiert werden?
655,1068,copa,Optimierung des Warenkorbes (Video),Wie kann der Warenkorb optimiert werden?
659,1072,copa,Gestaltung des Bestellvorgangs (Audio),Was muessen Online-Haendler bei der Gestaltung des Bestellvorgangs beachten?
660,1073,copa,Gestaltung des Bestellvorgangs (Text),Was muessen Online-Haendler bei der Gestaltung des Bestellvorgangs beachten?
661,1074,copa,Gestaltung des Bestellvorgangs (Video),Was muessen Online-Haendler bei der Gestaltung des Bestellvorgangs beachten?
665,1078,copa,Touchpoint - Chatbots (Audio),Inwieweit kann durch Chatbots die Kaufentscheidung beeinflusst werden?
666,1079,copa,Touchpoint - Chatbots (Text),Inwieweit kann durch Chatbots die Kaufentscheidung beeinflusst werden?
667,1080,copa,Touchpoint - Chatbots (Video),Inwieweit kann durch Chatbots die Kaufentscheidung beeinflusst werden?
668,1081,copa,Touchpoint - Bezahlvorgang (Audio),Wie kann der Bezahlvorgang kundenorientiert gestaltet werden?
669,1082,copa,Touchpoint - Bezahlvorgang (Text),Wie kann der Bezahlvorgang kundenorientiert gestaltet werden?
670,1083,copa,Touchpoint - Bezahlvorgang (Video),Wie kann der Bezahlvorgang kundenorientiert gestaltet werden?
671,1084,copa,Touchpoint - After Sales Services (Audio),Wie koennen die After-Sales-Services als Touchpoints genutzt werden?
672,1085,copa,Touchpoint - After Sales Services (Text),Wie koennen die After-Sales-Services als Touchpoints genutzt werden?
673,1086,copa,Touchpoint - After Sales Services (Video),Wie koennen die After-Sales-Services als Touchpoints genutzt werden?
677,1090,copa,Social Media Kampagne mit Influencer:innen (Audio),Wie plane ich eine Social Media Kampagne mit Influencer?
678,1091,copa,Social Media Kampagne mit Influencer:innen (Text),Wie plane ich eine Social Media Kampagne mit Influencer?
679,1092,copa,Social Media Kampagne mit Influencer:innen (Video),Wie plane ich eine Social Media Kampagne mit Influencer?
683,1096,copa,Livestream-Shopping (Audio),Wie funktioniert Livestream-Shopping?
684,1097,copa,Livestream-Shopping (Text),Wie funktioniert Livestream-Shopping?
685,1098,copa,Livestream-Shopping (Video),Wie funktioniert Livestream-Shopping?
686,1099,copa,Markenprofilsch‰rfung durch Social Media (Audio),Wie kann ich mein Markenprofil durch Social Media-Content schaerfen?
687,1100,copa,Markenprofilsch‰rfung durch Social Media (Text),Wie kann ich mein Markenprofil durch Social Media-Content schaerfen?
688,1101,copa,Markenprofilsch‰rfung durch Social Media (Video),Wie kann ich mein Markenprofil durch Social Media-Content schaerfen?
704,1117,copa,Kundenfeedback (Audio),Wie hole ich zielfuehrend Kundenfeedback ein?
705,1118,copa,Kundenfeedback (Text),Wie hole ich zielfuehrend Kundenfeedback ein?
706,1119,copa,Kundenfeedback (Video),Wie hole ich zielfuehrend Kundenfeedback ein?
707,1120,copa,Click & Collect Service (Audio),Wie kann die Einfuehrung eines Click & Collect Service aussehen?
708,1121,copa,Click & Collect Service (Text),Wie kann die Einfuehrung eines Click & Collect Service aussehen?
709,1122,copa,Click & Collect Service (Video),Wie kann die Einfuehrung eines Click & Collect Service aussehen?